Название;Компания;Сегмент;Код;Широта;Долгота;Топливо;Категория;Цена;Дата
НП Брянск (ФР ОТП);SPIMEX;spimex;PT_53_3235_34_6582;53.3235;34.6582;"ДТ ЕВРО, летнее, сорта C, эк. класса К5 марки ДТ-Л-К5 по
ГОСТ 32511-2013, НП Брянск (франко-резервуар ОТП";Бензин;61484.0;05.03
ЛПДС Черкассы (ФР ОТП);SPIMEX;spimex;PT_54_9074_56_167;54.9074;56.167;"ДТ ЕВРО, летнее, сорта C, эк. класса К5 марки ДТ-Л-К5 по
ГОСТ 32511-2013, ЛПДС Черкассы (франко-резервуар ОТП
Транснефть)";Бензин;60087.0;05.03
ЛПДС Никольское-1 (ФР ОТП);SPIMEX;spimex;PT_52_8295_40_4081;52.8295;40.4081;"ДТ ЕВРО, летнее, сорта C, эк. класса К5 марки ДТ-Л-К5 по
ГОСТ 32511-2013, ЛПДС Никольское-1 (франко-резервуар
ОТП Транснефть)";Бензин;61318.0;05.03
ЛПДС Невская (ФР ОТП);SPIMEX;spimex;PT_59_9005_30_7415;59.9005;30.7415;"ДТ ЕВРО, летнее, сорта C, эк. класса К5 марки ДТ-Л-К5 по
ГОСТ 32511-2013, ЛПДС Невская (франко-резервуар ОТП";Бензин;60873.0;05.03
НС Солнечногорская (ФР ОТП);SPIMEX;spimex;PT_56_0526_37_1523;56.0526;37.1523;"ДТ ЕВРО, летнее, сорта C, эк. класса К5 марки ДТ-Л-К5 по
ГОСТ 32511-2013, НС Солнечногорская (франко-резервуар
ОТП Транснефть)";Бензин;60983.0;05.03
ЛПДС Володарская (ФР ОТП);SPIMEX;spimex;PT_55_4866_37_973;55.4866;37.973;"ДТ ЕВРО, летнее, сорта C, эк. класса К5 марки ДТ-Л-К5 по
ГОСТ 32511-2013, ЛПДС Володарская (франко-резервуар
ОТП Транснефть)";Бензин;60963.0;05.03
ЛПДС Воронеж (ФР ОТП);SPIMEX;spimex;PT_51_5158_39_4026;51.5158;39.4026;"ДТ ЕВРО, летнее, сорта C, эк. класса К5 марки ДТ-Л-К5 по
ГОСТ 32511-2013, ЛПДС Воронеж (франко-резервуар ОТП
Транснефть)";Бензин;62368.0;05.03
БП Мегион-150;SPIMEX;spimex;PT_64_909_76_8043;64.909;76.8043;"ДТ вид 4 (ДТ-А-К5) минус 44, Мегион-150 БП (самовывоз
автотранспортом)";ДтА;74500.0;05.03
НБ Лосиная;SPIMEX;spimex;PT_56_9299_60_7836;56.9299;60.7836;"ДТ ЕВРО класс 2 (ДТ-З-К5) минус 32, НБ Лосиная (самовывоз
автотранспортом)";Бензин;75150.0;05.03
Ардымская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;PT_53_0466_44_8652;53.0466;44.8652;ДтЗ;ДтЗ;75800.0;05.03
Астраханская нефтебаза №5 (ЛИКАРД);LUKOIL;lukoil_other;PT_46_4082_48_1305;46.4082;48.1305;Бензин;Бензин;88300.0;05.03
Астраханская нефтебаза №5 (ЛИКАРД);LUKOIL;lukoil_other;PT_46_4082_48_1305;46.4082;48.1305;ДтЗ;ДтЗ;79800.0;05.03
Бобровская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;PT_51_1184_40_3104;51.1184;40.3104;Бензин;Бензин;80600.0;05.03
Бобровская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;PT_51_1184_40_3104;51.1184;40.3104;Бензин;Бензин;82600.0;05.03
Бобровская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;PT_51_1184_40_3104;51.1184;40.3104;ДтЗ;ДтЗ;76800.0;05.03
Волгоградская ГНС (ЛИКАРД);LUKOIL;lukoil_other;PT_48_5166_44_6337;48.5166;44.6337;Бензин;Бензин;58500.0;05.03
Волгоградская ГНС (ЛИКАРД);LUKOIL;lukoil_other;PT_48_5166_44_6337;48.5166;44.6337;Бензин;Бензин;62000.0;05.03
Волгоградская ГНС (ЛИКАРД);LUKOIL;lukoil_other;PT_48_5166_44_6337;48.5166;44.6337;Бензин;Бензин;68600.0;05.03
Волгоградская ГНС (ЛИКАРД);LUKOIL;lukoil_other;PT_48_5166_44_6337;48.5166;44.6337;ДтЗ;ДтЗ;62200.0;05.03
Волгоградская ГНС (ЛИКАРД);LUKOIL;lukoil_other;PT_48_5166_44_6337;48.5166;44.6337;СУГ;СУГ;34700.0;05.03
ГНС Калиниградского РУ (ЛИКАРД);LUKOIL;lukoil_other;PT_54_5957_20_5621;54.5957;20.5621;СУГ;СУГ;44500.0;05.03
"КО ""ТНПС"" ООО (ЛИКАРД)";LUKOIL;lukoil_other;PT_53_2009_49_66;53.2009;49.66;Бензин;Бензин;73000.01;05.03
"КО ""ТНПС"" ООО (ЛИКАРД)";LUKOIL;lukoil_other;PT_53_2009_49_66;53.2009;49.66;Бензин;Бензин;77800.0;05.03
"КО ""ТНПС"" ООО (ЛИКАРД)";LUKOIL;lukoil_other;PT_53_2009_49_66;53.2009;49.66;Бензин;Бензин;78000.0;05.03
"КО ""ТНПС"" ООО (ЛИКАРД)";LUKOIL;lukoil_other;PT_53_2009_49_66;53.2009;49.66;Бензин;Бензин;88000.0;05.03
"КО ""ТНПС"" ООО (ЛИКАРД)";LUKOIL;lukoil_other;PT_53_2009_49_66;53.2009;49.66;ДтЗ;ДтЗ;88100.01;05.03
Комплексный нефтяной терминал (ЛИКАРД);LUKOIL;lukoil_other;PT_54_6955_20_1878;54.6955;20.1878;Бензин;Бензин;88500.0;05.03
Комплексный нефтяной терминал (ЛИКАРД);LUKOIL;lukoil_other;PT_54_6955_20_1878;54.6955;20.1878;Бензин;Бензин;89500.01;05.03
Комплексный нефтяной терминал (ЛИКАРД);LUKOIL;lukoil_other;PT_54_6955_20_1878;54.6955;20.1878;ДтЗ;ДтЗ;79000.0;05.03
Кстовская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;PT_56_0925_44_1538;56.0925;44.1538;Бензин;Бензин;61600.0;05.03
Кстовская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;PT_56_0925_44_1538;56.0925;44.1538;Бензин;Бензин;64700.0;05.03
Кстовская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;PT_56_0925_44_1538;56.0925;44.1538;Бензин;Бензин;69000.0;05.03
Видновская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;PT_55_5623_37_755;55.5623;37.755;ДтЗ;ДтЗ;75700.0;05.03
Купавинская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;PT_55_8003_38_2039;55.8003;38.2039;ДтЗ;ДтЗ;75700.0;05.03
Липецкая нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;PT_52_6943_39_4287;52.6943;39.4287;Бензин;Бензин;77300.01;05.03
Липецкая нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;PT_52_6943_39_4287;52.6943;39.4287;ДтЗ;ДтЗ;74200.0;05.03
Майкопская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;PT_44_6238_40_1082;44.6238;40.1082;Бензин;Бензин;67000.0;05.03
Майкопская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;PT_44_6238_40_1082;44.6238;40.1082;Бензин;Бензин;79950.0;05.03
Майкопская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;PT_44_6238_40_1082;44.6238;40.1082;Бензин;Бензин;86000.0;05.03
Минераловодская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;PT_44_3368_42_9719;44.3368;42.9719;Бензин;Бензин;67000.0;05.03
Минераловодская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;PT_44_3368_42_9719;44.3368;42.9719;СУГ;СУГ;35400.0;05.03
Накопительная перевалочная нб (ЛИКАРД);LUKOIL;lukoil_other;PT_44_9987_41_0555;44.9987;41.0555;Бензин;Бензин;80805.0;05.03
НБ Заводская (ЛИКАРД);LUKOIL;lukoil_other;PT_63_5631_53_7267;63.5631;53.7267;ДтЗ;ДтЗ;66000.0;05.03
НБ Нефтебизнес (ЛИКАРД);LUKOIL;lukoil_other;PT_64_4666_40_6145;64.4666;40.6145;Бензин;Бензин;75300.0;05.03
НБ Нефтебизнес (ЛИКАРД);LUKOIL;lukoil_other;PT_64_4666_40_6145;64.4666;40.6145;Бензин;Бензин;82000.01;05.03
НБ Нефтебизнес (ЛИКАРД);LUKOIL;lukoil_other;PT_64_4666_40_6145;64.4666;40.6145;ДтЗ;ДтЗ;82200.0;05.03
НБ УАЗС Печора-1 (ЛИКАРД);LUKOIL;lukoil_other;PT_65_1285_57_1802;65.1285;57.1802;ДтЗ;ДтЗ;82300.0;05.03
