code,lat,lon,name,"Наименование
товара",,,,,,,
A692VDK005A,"43,0593496","44,712463",Владикавказский цех,бензин (АИ-92-К5),,,,,,,
A692VDR005A,"56,1501632","38,8485985",БП Владимирская область,бензин (АИ-92-К5),,,,,,,
A692VGB005A,"48,8467022","44,53477",БП Волгоград,бензин (АИ-92-К5),,,,,,,
A692VGD005A,"42,1431886","47,0949799",БП Волгодонск,бензин (АИ-92-К5),,,,,,,
A692VGH025A,"55,3698127","65,8226132",НБ Варгашинская,бензин (АИ-92-К5),,,,,,,
A692VGZ005A,"48,8359972","44,5816633",НБ Волгоградская,бензин (АИ-92-К5),,,,,,,
A692VIK005A,"56,1273076","101,1393321",Вихоревский цех,бензин (АИ-92-К5),,,,,,,
A692VLD005A,"55,4866265","37,9730438",ЛПДС Володарская,бензин (АИ-92-К5),,,,,,,
A692VRL005A,"52,6062328","39,3939727",БП Воронеж-Липецк,бензин (АИ-92-К5),,,,,,,
A692VRZ005A,"51,6479059","39,3050031",Воронежский цех,бензин (АИ-92-К5),,,,,,,
A692VSY005A,"61,0680683","42,0648534",НБ Вельская,бензин (АИ-92-К5),,,,,,,
A692YGT025A,"47,1122","39,4233",НБ Юг-Терминал,бензин (АИ-92-К5),,,,,,,
A692YNK005A,"45,0138229","41,123315",НПНБ ЮНК,бензин (АИ-92-К5),,,,,,,
A692YRC005A,"55,0707612","32,6648438",НБ Ярцевская,бензин (АИ-92-К5),,,,,,,
A692ZAZ010A,"56,8719743","53,4479603",НБ Завьяловская,бензин (АИ-92-К5),,,,,,,
A692ZHL005A,"52,3484486","104,2708274",Жилкинский цех,бензин (АИ-92-К5),,,,,,,
A692ZNT025A,"45,229123","38,1294432",Славянск ЭКО,бензин (АИ-92-К5),,,,,,,
A692ZPA005A,"54,7002581","20,4435594",НБ Западная,бензин (АИ-92-К5),,,,,,,
A692ZVZ005A,"56,294629","38,136468",НБ СОЮЗ,бензин (АИ-92-К5),,,,,,,
A695AAN025A,"53,32983","83,641465",НБ АНР,бензин (АИ-95-К5),,,,,,,
A695AAY025A,"55,4857103","60,8751953",НБ Аргаяшская,бензин (АИ-95-К5),,,,,,,
A695ABE010A,"53,327656","58,6273839",НБ Абзелиловская,бензин (АИ-95-К5),,,,,,,
A695ABS005A,"53,7071634","91,439021",НБ Абаканская,бензин (АИ-95-К5),,,,,,,
A695ACH005A,"56,5042626","90,7164586",Ачинский НПЗ,бензин (АИ-95-К5),,,,,,,
A695AIK025A,"57,19532","65,6148594",НБ Арникс,бензин (АИ-95-К5),,,,,,,
A695AKT025A,"53,260136","83,4772862",НБ АНК-2,бензин (АИ-95-К5),,,,,,,
A695AMK025A,"57,8839529","56,1652655",НБ Амкар-Сервис,бензин (АИ-95-К5),,,,,,,
A695AML025A,"66,0389090","77,0180220",НБ ЯмалЭкоСервис,бензин (АИ-95-К5),,,,,,,
A695ANL025A,"52,5243393","103,9018875",НБ БУЭК-Ангарск,бензин (АИ-95-К5),,,,,,,
A695ANU025A,"57,1545825","65,6067347",Тюменский НПЗ,бензин (АИ-95-К5),,,,,,,
A695AOP025A,"47,5266619","38,7431497",НБ АГРОПРОДУКТ,бензин (АИ-95-К5),,,,,,,
A695ASO005A,"61,2776948","73,1885344",Сургутский ЗСК (АСН),бензин (АИ-95-К5),,,,,,,
A695ASR005A,"46,3586008","48,0569482",БП Астрахань,бензин (АИ-95-К5),,,,,,,
A695AVM005A,"50,6357821","137,0776457",Комсомольский НПЗ (СН),бензин (АИ-95-К5),,,,,,,
A695BEP010A,"53,928889","58,321944",НБ Белорецкая,бензин (АИ-95-К5),,,,,,,
A695BIF005A,"52,5564013","85,1297695",НБ Бийская,бензин (АИ-95-К5),,,,,,,
A695BLL005A,"52,8136698","79,8907664",НБ Благовещенская,бензин (АИ-95-К5),,,,,,,
A695BRF005A,"53,2338359","34,3512709",НБ Брянская,бензин (АИ-95-К5),,,,,,,
A695BRG005A,"51,3592038","42,1020224",Борисоглебский цех,бензин (АИ-95-К5),,,,,,,
A695BSA005A,"51,5283208","43,1356942",НБ Балашовская,бензин (АИ-95-К5),,,,,,,
A695BUH010A,"52,781279","52,2579515",НБ Бузулукская,бензин (АИ-95-К5),,,,,,,
A695CEV010A,"55,2203405","61,3140434",НБ Челябинская,бензин (АИ-95-К5),,,,,,,
A695CIY005A,"47,6433306","42,0860823",НБ Цимлянская,бензин (АИ-95-К5),,,,,,,
A695CUU025A,"55,6686860","52,1920370",НБ Чулман-Транс,бензин (АИ-95-К5),,,,,,,
A695DAS005A,"45,036035","38,9745706",БП Дагестан,бензин (АИ-95-К5),,,,,,,
A695DIB025A,"51,645744","39,2755923",НБ Дибеко,бензин (АИ-95-К5),,,,,,,
A695ENR025A,"55,7558","37,6173",НБ Энергия-Байт,бензин (АИ-95-К5),,,,,,,
A695ENU025A,"54,8894038","51,9841041",Елховский НПЗ,бензин (АИ-95-К5),,,,,,,
A695ETI025A,"55,489335","65,371607",НБ Этиламин,бензин (АИ-95-К5),,,,,,,
A695FIA005A,"56,802887","105,8880422",Усть-Кутский цех,бензин (АИ-95-К5),,,,,,,
A695FIS005A,"45,3396945","42,8264506",Светлоградский цех,бензин (АИ-95-К5),,,,,,,
A695FIT005A,"44,7935047","44,1571661",Буденновский цех,бензин (АИ-95-К5),,,,,,,
A695FIV005A,"44,1613139","43,4699825",Георгиевский цех,бензин (АИ-95-К5),,,,,,,
A695GUB005A,"51,305942","37,3131291",НБ Губкинская,бензин (АИ-95-К5),,,,,,,
A695IAL025A,"65,9167537","78,1844652",НБ МИАЛ,бензин (АИ-95-К5),,,,,,,
A695INF025A,"61,2835729","73,2066849",НБ Информат,бензин (АИ-95-К5),,,,,,,
A695IRM005A,"55,3989389","86,0050055",НБ Кировская Терминал-Ойл,бензин (АИ-95-К5),,,,,,,
A695JEF005A,"51,4192511","45,9521768",НБ Энгельcская,бензин (АИ-95-К5),,,,,,,
A695KCV005A,"50,4228805","40,9710353",Калачеевский цех,бензин (АИ-95-К5),,,,,,,
